Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,EctoNanogAbk1,EctoNanogAbk2,EctoNanogAbk3,EctoNanogBock1,EctoNanogBock2,EctoNanogBock3,ESCNanogAbk1,ESCNanogAbk2,ESCNanogAbk3,ESCNanogBock1,ESCNanogBock2,ESCNanogBock3
P25786;P25786-2,F5GX11;P25786-2;P25786,PSA1-2_HUMAN;PSA1_HUMAN,PSMA1,11,Proteasome subunit alpha type-1,533124,510849,496886,274665,,,678069,747913,673228,583909,323129,374611
P25787,A0A024RA52;P25787,PSA2_HUMAN,PSMA2,5,Proteasome subunit alpha type-2,198386,274601,290124,,,,228273,445021,311463,235352,107920,133041
P25788;P25788-2,G3V3W4;G3V5N4;P25788-2;P25788,PSA3-2_HUMAN;PSA3_HUMAN,PSMA3,7,Proteasome subunit alpha type-3,315764,287034,371392,207669,220883,,424120,461994,493315,168951,223785,318133
P25789,H0YL69;H0YMZ1;H0YN18;P25789-2;P25789,PSA4_HUMAN,PSMA4,6,Proteasome subunit alpha type-4,411872,330856,409139,,,,490115,473127,521245,,,
P25815,P25815,S100P_HUMAN,S100P,1,Protein S100-P,,,,,,,,,,,,
P26038,P26038,MOES_HUMAN,MSN,10,Moesin,344944,357955,372783,,,,606249,656996,591093,,,
P26196,P26196,DDX6_HUMAN,DDX6,7,Probable ATP-dependent RNA helicase DDX6,125840,131602,88688.6,,,,249846,177268,245813,,,121065
P26358;P26358-2,K7EIZ6;K7EJL0;K7EMU8;P26358-2;P26358,DNMT1-2_HUMAN;DNMT1_HUMAN,DNMT1,3,DNA (cytosine-5)-methyltransferase 1,,,,,,,120879,150051,98781.9,,,
P26368;P26368-2,K7ENG2;P26368-2;P26368,U2AF2-2_HUMAN;U2AF2_HUMAN,U2AF2,5,Splicing factor U2AF 65 kDa subunit,221042,,99043,,,,208121,,227035,,,
P26373,H3BUK8;J3KS98;P26373-2;P26373,RL13_HUMAN,RPL13,14,60S ribosomal protein L13,6554140,8195480,6768420,7966390,5933820,4948650,23327000,27008100,18957300,38193500,24501200,30829300
P26440;P26440-2,A0A0A0MT83;H0YKV0;H0YLC3;H0YN10;H7C4G6;P26440-2;P26440,IVD-2_HUMAN;IVD_HUMAN,IVD,5,"Isovaleryl-CoA dehydrogenase, mitochondrial",423803,469415,453840,203938,,,157128,200793,201540,,,
P26583,D6R9A6;P26583,HMGB2_HUMAN,HMGB2,5,High mobility group protein B2,54799.3,,55615.3,,,,307059,298723,322121,,,
P26599;P26599-2;P26599-3,A0A0U1RRM4;A6NLN1;K7EKJ7;K7ELW5;K7ES59;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;P26599-2;P26599-3;X6R242;O95758;P26599,PTBP1-2_HUMAN;PTBP1-3_HUMAN;PTBP1_HUMAN,PTBP1,12,Polypyrimidine tract-binding protein 1,1771090,1820900,1817150,1060950,892811,982970,1050870,1043930,1111540,546592,355008,522069
P26639;P26639-2,P26639-2;P26639,SYTC-2_HUMAN;SYTC_HUMAN,TARS,18,"Threonine--tRNA ligase, cytoplasmic",323143,336569,305498,,,,599696,444848,625759,,,
P26640,A0A140T936;P26640-2;P26640,SYVC_HUMAN,VARS,13,Valine--tRNA ligase,,,,,,,194410,208745,186761,,,
P26641;P26641-2,P26641-2;P26641,EF1G-2_HUMAN;EF1G_HUMAN,EEF1G,16,Elongation factor 1-gamma,761253,813540,744356,,,,1654350,1389580,1768090,511761,301746,364661
P26885,A0A494C1N0;P26885,FKBP2_HUMAN,FKBP2,3,Peptidyl-prolyl cis-trans isomerase FKBP2,848177,892294,870993,,,,456742,373999,429344,,,
P27105,P27105-2;P27105,STOM_HUMAN,STOM,2,Erythrocyte band 7 integral membrane protein,,,,,,,,,,,,
P27144,D3DQ64;P27144,KAD4_HUMAN,AK4,5,"Adenylate kinase 4, mitochondrial",54539.9,135790,125092,,,,479760,607394,476183,193736,,331411
P27348,E9PG15;P27348,1433T_HUMAN,YWHAQ,5,14-3-3 protein theta,468359,512087,485664,273646,,,1347020,1386050,1302600,434908,352270,300172
P27482,P27482,CALL3_HUMAN,CALML3,5,Calmodulin-like protein 3,,,,,,,,,,,,104004
P27635,A0A087WV22;F8W7C6;H7C123;H7C2C5;X1WI28;P27635;Q96L21,RL10_HUMAN,RPL10,7,60S ribosomal protein L10,442633,451671,364003,251607,185997,,1167770,1175630,1293390,1035330,734261,1008570
P27694,P27694,RFA1_HUMAN,RPA1,9,Replication protein A 70 kDa DNA-binding subunit,,113732,83734.3,,,,,163154,56047.8,,,
P27695,G3V359;G3V3C7;G3V3M6;G3V5M0;P27695,APEX1_HUMAN,APEX1,9,DNA-(apurinic or apyrimidinic site) lyase,367071,227741,276099,,,,811838,610804,769337,,,
P27708,F8VPD4;H7C2E4;P27708,PYR1_HUMAN,CAD,22,CAD protein,82446.7,,,,,,255423,280809,233254,,,109355
P27797,K7EJB9;P27797,CALR_HUMAN,CALR,9,Calreticulin,3588370,3268410,3057970,1478440,1063730,830402,3098430,2999410,2852840,542269,315123,351394
P27816-6,E7EVA0;P27816-2;P27816-6;P27816,MAP4-6_HUMAN,MAP4,27,"Isoform of P27816, Isoform 6 of Microtubule-associated protein 4",127496,134114,95599.9,,,,417668,408038,366652,,,
P27824;P27824-2,D6RAU8;D6RB85;D6RDP7;H0Y9Q7;P27824-2;P27824,CALX-2_HUMAN;CALX_HUMAN,CANX,16,Calnexin,1135380,1348550,1179140,938462,601904,303779,1036680,1123670,996547,699970,360534,549134
P28066,P28066,PSA5_HUMAN,PSMA5,4,Proteasome subunit alpha type-5,295338,306661,299048,,98785.1,,873131,513097,521120,249709,230266,330004
P28070,P28070,PSB4_HUMAN,PSMB4,3,Proteasome subunit beta type-4,387301,356536,441678,260712,285106,,456997,476920,452751,243883,344915,418760
P28072,A0A087X2I4;I3L3X7;P28072,PSB6_HUMAN,PSMB6,4,Proteasome subunit beta type-6,870465,857302,846134,563899,629305,568571,1076450,1337390,1132860,708565,644254,669983
P28074,P28074-3;P28074,PSB5_HUMAN,PSMB5,8,Proteasome subunit beta type-5,469035,410152,555413,250373,225968,,559335,556923,628726,,168126,416371
P28288;P28288-2,P28288-2;P28288-3;P28288,ABCD3-2_HUMAN;ABCD3_HUMAN,ABCD3,2,ATP-binding cassette sub-family D member 3,,,,,,,,,,,,
P28331;P28331-2,B4DJ81;P28331-2;P28331-3;P28331-4;P28331-5;P28331,NDUS1-2_HUMAN;NDUS1_HUMAN,NDUFS1,17,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",338678,318069,371439,211783,179579,,199134,260215,255755,,92975,221184
P28340,A0A2R8Y7K6;M0QZR8;M0R2B7;P28340,DPOD1_HUMAN,POLD1,2,DNA polymerase delta catalytic subunit,322102,369884,337095,,,,834348,898861,985715,,213644,386198
P28370;P28370-2,A0A0A0MRP6;B7ZLQ5;P28370-2;P28370,SMCA1-2_HUMAN;SMCA1_HUMAN,SMARCA1,2,Probable global transcription activator SNF2L1,,,,,,,,,,,,
P28482;P28482-2,B3KR49;D6RFF2;E9PD35;E9PJF0;E9PQW4;H0YD75;H0YDH9;H9N1E7;P10721-2;P17948-5;P17948-6;P17948-7;P17948-8;P27361-2;P27361-3;P28482-2;P35916-1;A0A0B4J203;P09619;P10721;P16234;P17948;P27361;P28482;P35916;P35968;P36888;Q9UBE8,MK01-2_HUMAN;MK01_HUMAN,MAPK1,4,Mitogen-activated protein kinase 1,116771,,110772,,,,138938,172402,175733,,,
P28799,K7EKL3;K7EQ05;K7EQI0;P28799-2;P28799-3;P28799,GRN_HUMAN,GRN,8,Progranulin,1367100,1694020,1604750,1016940,829613,1111820,530489,491333,449069,535353,482758,648002
P28838;P28838-2,P28838-2;P28838,AMPL-2_HUMAN;AMPL_HUMAN,LAP3,16,Cytosol aminopeptidase,237930,247009,208795,,,,882516,321398,824059,,,
P29034,R4GN49;P29034,S10A2_HUMAN,S100A2,2,Protein S100-A2,,,,,,,747185,,3852430,,,
P29144,A0A494C1B8;Q5VZU9;P29144,TPP2_HUMAN,TPP2,13,Tripeptidyl-peptidase 2,108916,,117176,,,,168627,144404,172577,,,
P29218;P29218-3,E5RG13;E5RG94;E5RGY4;E5RHE9;E5RI82;E5RIF4;E5RIP7;H0YBL1;P29218-2;P29218-3;P29218,IMPA1-3_HUMAN;IMPA1_HUMAN,IMPA1,2,Inositol monophosphatase 1,,,82256.2,,,,416881,165044,310652,,,
P29279;P29279-2,P29279-2;P29279,CCN2-2_HUMAN;CCN2_HUMAN,CCN2,3,CCN family member 2,165100,189060,158997,131030,,,102408,74917.9,,,,106332
P29372;P29372-2;P29372-4;P29372-5,P29372-2;P29372-4;P29372-5;P29372,3MG-2_HUMAN;3MG-4_HUMAN;3MG-5_HUMAN;3MG_HUMAN,MPG,4,DNA-3-methyladenine glycosylase,,,,,,,,,,,,
P29373,Q5SYZ4;P29373,RABP2_HUMAN,CRABP2,7,Cellular retinoic acid-binding protein 2,131390,,139826,,,,,,,,,
P29401;P29401-2,A0A0B4J1R6;P29401-2;P29401,TKT-2_HUMAN;TKT_HUMAN,TKT,21,Transketolase,562695,604833,589514,325420,283744,,2428140,2816820,2360580,441787,287583,310865
P29508,P29508-2;P29508,SPB3_HUMAN,SERPINB3,12,Serpin B3,779699,717170,765278,498598,1279590,502569,326935,518959,379460,1251050,704905,1388850
P29692;P29692-2,A0A087X1X7;E9PI39;E9PIZ1;E9PK01;E9PL12;E9PMW7;E9PPR1;E9PQ49;E9PRY8;H0YCK7;P29692-2;P29692,EF1D-2_HUMAN;EF1D_HUMAN,EEF1D,8,Elongation factor 1-delta,607402,543930,502931,,,,1144620,1130970,1335480,,201458,250665
P29762,B5MCB5;P29762,RABP1_HUMAN,CRABP1,7,Cellular retinoic acid-binding protein 1,312421,296720,290021,,,,659573,790607,705739,,,
P29966,P29966,MARCS_HUMAN,MARCKS,7,Myristoylated alanine-rich C-kinase substrate,491456,535897,466655,,,,254748,338803,270597,,,
P30038,P30038-2;P30038-3;P30038,AL4A1_HUMAN,ALDH4A1,7,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",490184,453415,458796,,,,,108532,139286,,,
P30040,F8VY02;P30040,ERP29_HUMAN,ERP29,9,Endoplasmic reticulum resident protein 29,3010800,3071040,3046860,665753,643988,,1419860,1570440,1355440,,,88752.8
P30041,P30041,PRDX6_HUMAN,PRDX6,14,Peroxiredoxin-6,719563,772126,789893,,,,2331340,2000550,4289060,288849,243862,434976
P30043,A0A2R8Y7Y9;M0QZL1;M0R192;P30043,BLVRB_HUMAN,BLVRB,1,Flavin reductase (NADPH),,,87026.2,,,,,253300,,,,
P30044;P30044-2,P30044-2;P30044-3;P30044,PRDX5-2_HUMAN;PRDX5_HUMAN,PRDX5,6,"Peroxiredoxin-5, mitochondrial",873663,866777,951094,,,,621222,753579,664395,,,
P30046,B5MC82;J3KQ18;P30046-2;A6NHG4;P30046,DOPD_HUMAN,DDT,4,D-dopachrome decarboxylase,,,,,,,123317,,160305,,,
P30048;P30048-2,P30048-2;P30048,PRDX3-2_HUMAN;PRDX3_HUMAN,PRDX3,6,"Thioredoxin-dependent peroxide reductase, mitochondrial",1599400,1347840,1179120,335890,421021,,770645,492091,735223,96794.9,,141762
P30049,P30049,ATPD_HUMAN,ATP5F1D,2,"ATP synthase subunit delta, mitochondrial",902198,775970,876912,537568,455173,,527819,692596,603170,183285,140901,206364
P30050,P30050,RL12_HUMAN,RPL12,8,60S ribosomal protein L12,2900740,2936020,3202670,2278890,1633690,1885110,5469940,5852050,5466190,6219480,5254280,6313850
P30084,P30084,ECHM_HUMAN,ECHS1,10,"Enoyl-CoA hydratase, mitochondrial",494733,237971,309803,,,,218412,118349,228100,,,
P30085;P30085-2;P30085-3,A0A494BXC7;P30085-2;P30085-3;Q5T0D2;P30085,KCY-2_HUMAN;KCY-3_HUMAN;KCY_HUMAN,CMPK1,1,UMP-CMP kinase,,,,,,,187350,,103203,,,
P30086,P30086,PEBP1_HUMAN,PEBP1,7,Phosphatidylethanolamine-binding protein 1,1442110,1704360,1566440,444857,601748,,3764570,4448780,3599780,373272,536951,961214
P30101,P30101,PDIA3_HUMAN,PDIA3,29,Protein disulfide-isomerase A3,7425710,7568700,7409890,3303560,2659020,2216480,4918440,5849150,4598930,922245,528698,748235
P30153,B3KQV6;C9J9C1;P30153,2AAA_HUMAN,PPP2R1A,13,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,319980,257527,152023,,,,605014,554274,596307,276487,,189838
P30154;P30154-2;P30154-4,P30154-2;P30154-3;P30154-4;P30154,2AAB-2_HUMAN;2AAB-4_HUMAN;2AAB_HUMAN,PPP2R1B,3,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,,,,,,,,,150398,,,
P30405,P30405,PPIF_HUMAN,PPIF,4,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",418778,358013,339864,,,,,192561,,,,
P30408,F8WBG6;F8WF27;P30408,T4S1_HUMAN,TM4SF1,1,Transmembrane 4 L6 family member 1,,,,,,,,,,,,
P30419,P30419-2;Q5VUC6;O60551;P30419,NMT1_HUMAN,NMT1,5,Glycylpeptide N-tetradecanoyltransferase 1,618878,1046340,1766060,,,,950618,927677,868441,,,
P30519;P30519-2,A0A087WT44;I3L159;I3L1F5;P30519-2;P30519,HMOX2-2_HUMAN;HMOX2_HUMAN,HMOX2,1,Heme oxygenase 2,,,,,,,,,42536.2,,,
P30520,P30520,PURA2_HUMAN,ADSS,4,Adenylosuccinate synthetase isozyme 2,138952,175920,95561.7,,,,321131,281712,299956,,,
P30533,A0A3B3IRQ7;P30533,AMRP_HUMAN,LRPAP1,1,Alpha-2-macroglobulin receptor-associated protein,339046,348768,417076,286881,,,,432146,227502,,,
P30566,A0A096LNY6;A0A0A6YY92;A0A1B0GTJ7;A0A1B0GWJ0;P30566,PUR8_HUMAN,ADSL,4,Adenylosuccinate lyase,,,,,,,182179,219570,166796,,,
P30626;P30626-2;P30626-3,C9J0K6;P30626-2;P30626-3;P30626,SORCN-2_HUMAN;SORCN-3_HUMAN;SORCN_HUMAN,SRI,5,Sorcin,108086,,,,,,447187,190454,404441,,,
P30837,P30837,AL1B1_HUMAN,ALDH1B1,9,"Aldehyde dehydrogenase X, mitochondrial",520198,472777,446396,239871,244291,,216557,272871,209979,,,
P30876,A0A1W2PPT5;C9J2Y9;C9J4M6;P30876,RPB2_HUMAN,POLR2B,6,DNA-directed RNA polymerase II subunit RPB2,,104807,142287,,,,,,,,,
P31025,P31025,LCN1_HUMAN,LCN1,6,Lipocalin-1,270553,356215,1215800,483310,548566,295475,552302,1890520,317254,409408,391841,1439390
P31040;P31040-2,A0A087X1I3;P31040-2;P31040-3;P31040,SDHA-2_HUMAN;SDHA_HUMAN,SDHA,7,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",599650,664660,626720,533700,400091,,270248,,347843,,,
P31150,P31150,GDIA_HUMAN,GDI1,4,Rab GDP dissociation inhibitor alpha,,72260.8,,,,,177698,143075,179950,,,
P31151,P31151;Q86SG5,S10A7_HUMAN,S100A7,6,Protein S100-A7,1553780,1517210,1856650,161677,692801,,1194570,686613,1551980,1943000,1138090,3874810
P31153,P31153-2;P31153,METK2_HUMAN,MAT2A,9,S-adenosylmethionine synthase isoform type-2,216686,243305,182006,,,,701524,737140,626288,,,271180
P31327;P31327-3,P31327-3;Q5R211;P31327,CPSM-3_HUMAN;CPSM_HUMAN,CPS1,1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",,,,,,,,,,,,
P31350;P31350-2,A0A286YFD6;C9JXC1;P31350-2;P31350,RIR2-2_HUMAN;RIR2_HUMAN,RRM2,1,Ribonucleoside-diphosphate reductase subunit M2,,,,,,,125855,130488,126084,,,
P31483-3,E5RG67;E5RGV5;F8W8I6;P31483-3;P31483,TIA1-3_HUMAN,TIA1,2,"Isoform of P31483, Isoform 3 of Nucleolysin TIA-1 isoform p40",,75111.3,,,,,91471.9,,174685,,,
P31689,P31689-2;P31689,DNJA1_HUMAN,DNAJA1,4,DnaJ homolog subfamily A member 1,,37136.9,,,,,237423,174814,234087,149086,,194565
P31930,P31930,QCR1_HUMAN,UQCRC1,10,"Cytochrome b-c1 complex subunit 1, mitochondrial",679774,734509,743208,801642,598056,,521894,574219,481258,606626,468566,641910
P31937,H7BZL2;P31937,3HIDH_HUMAN,HIBADH,2,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",125524,,44417.1,,,,,,,,,
P31939;P31939-2,H7C1S2;P31939-2;P31939,PUR9-2_HUMAN;PUR9_HUMAN,ATIC,15,Bifunctional purine biosynthesis protein PURH,181543,174277,189629,,,,542841,619725,523444,,,
P31942;P31942-2,P31942-2;P31942-3;P31942-4;P31942-5;P31942-6;P31942,HNRH3-2_HUMAN;HNRH3_HUMAN,HNRNPH3,6,Heterogeneous nuclear ribonucleoprotein H3,1166950,1182300,1131540,1002250,867303,599833,613148,599034,624448,,,
P31943,D6RIT2;E9PCY7;G8JLB6;H0YB39;H0YBD7;H0YBG7;P31943,HNRH1_HUMAN,HNRNPH1,12,Heterogeneous nuclear ribonucleoprotein H,1813840,1777750,1520520,1266770,985023,,1446040,808536,1290150,2304910,,442601
P31944,P31944,CASPE_HUMAN,CASP14,9,Caspase-14,1642380,1481590,2418290,2209440,2917640,2649410,1103650,1387810,1136220,3137130,4038860,4474140
P31946;P31946-2,P31946-2;P31946,1433B-2_HUMAN;1433B_HUMAN,YWHAB,5,14-3-3 protein beta/alpha,476139,438556,433997,,,,1297030,1206810,1338820,237687,,179268
P31947;P31947-2,P31947-2;P31947,1433S-2_HUMAN;1433S_HUMAN,SFN,12,14-3-3 protein sigma,,,,,,,1609710,,3250130,,166436,
P31948;P31948-2,F5GXD8;F5H783;P31948-2;P31948-3;P31948,STIP1-2_HUMAN;STIP1_HUMAN,STIP1,27,Stress-induced-phosphoprotein 1,685786,582680,652772,,,,1464410,1652630,1379010,,,
P31949,P31949,S10AB_HUMAN,S100A11,4,Protein S100-A11,787533,475197,650690,196812,519380,,1531780,2029690,1567980,1296250,1621310,799284
P32119,P32119,PRDX2_HUMAN,PRDX2,7,Peroxiredoxin-2,913145,995123,957671,467665,817823,625054,1287820,1657850,1281700,566863,691102,852436
P32321;P32321-2,P32321-2;P32321,DCTD-2_HUMAN;DCTD_HUMAN,DCTD,1,Deoxycytidylate deaminase,,,,,,,,,,,,
P32322;P32322-3,E2QRB3;P32322-3;P32322,P5CR1-3_HUMAN;P5CR1_HUMAN,PYCR1,6,"Pyrroline-5-carboxylate reductase 1, mitochondrial",409387,464210,405131,183154,,,169660,121747,159015,,,
P32926,P32926,DSG3_HUMAN,DSG3,6,Desmoglein-3,,,,,,,,,,,,
P32929;P32929-2,P32929-2;P32929-3;P32929,CGL-2_HUMAN;CGL_HUMAN,CTH,4,Cystathionine gamma-lyase,,,,,,,571696,,722702,,,
P32969,D6RAN4;E7ESE0;P32969,RL9_HUMAN,RPL9P9,10,60S ribosomal protein L9,2662830,2843530,2581810,477433,469325,,1660750,1306120,1740330,1372290,1223910,1948010
P33121;P33121-2;P33121-3,B7Z3Z9;D6RER0;E7EPM6;P33121-2;P33121-3;P33121,ACSL1-2_HUMAN;ACSL1-3_HUMAN;ACSL1_HUMAN,ACSL1,3,Long-chain-fatty-acid--CoA ligase 1,,,,,,,,,,,,
P33176,P33176,KINH_HUMAN,KIF5B,3,Kinesin-1 heavy chain,,,,,,,156620,76648.5,123647,,,
P33240;P33240-2,A0A0A0MT56;E7EWR4;E9PID8;P33240-2;P33240,CSTF2-2_HUMAN;CSTF2_HUMAN,CSTF2,3,Cleavage stimulation factor subunit 2,229864,179801,207024,,,,247808,172121,234448,,,
P33316;P33316-2,A0A0C4DGL3;H0YKC5;H0YKI0;H0YMM5;H0YMP1;H0YNJ9;H0YNW5;P33316-2;P33316,DUT-2_HUMAN;DUT_HUMAN,DUT,9,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",287323,255455,187080,,,,409138,485431,494598,,,
P33991,A0A3B3IS57;A0A3B3IT92;A0A3B3IU45;E5RG31;P33991,MCM4_HUMAN,MCM4,15,DNA replication licensing factor MCM4,79479.7,,73179.9,,,,333292,350786,317427,,,
P33992,B1AHB1;B1AHB2;P33992,MCM5_HUMAN,MCM5,24,DNA replication licensing factor MCM5,328699,242256,154335,305499,,,639799,499410,615620,225965,,311479
P33993,P33993-2;P33993,MCM7_HUMAN,MCM7,24,DNA replication licensing factor MCM7,240326,285269,247972,,,,655036,541184,572342,,,337870
P34897;P34897-3,G3V241;G3V2E4;G3V2W0;G3V3Y8;G3V4T0;G3V4W5;G3V4X0;G3V540;G3V5L0;P34897-2;P34897-3;P34897,GLYM-3_HUMAN;GLYM_HUMAN,SHMT2,18,"Serine hydroxymethyltransferase, mitochondrial",3629300,3786780,3590360,1206670,888259,967328,1357670,1266610,1441810,,,
P34932,A0A087WTS8;A0A087WYC1;P34932,HSP74_HUMAN,HSPA4,29,Heat shock 70 kDa protein 4,312465,308628,304376,,,,946077,953370,878968,,,146257
P35030;P35030-2;P35030-3;P35030-4;P35030-5,B1AN99;P35030-2;P35030-3;P35030-4;P35030-5;P35030,TRY3-2_HUMAN;TRY3-3_HUMAN;TRY3-4_HUMAN;TRY3-5_HUMAN;TRY3_HUMAN,PRSS3,3,Trypsin-3,1449420,1145290,1466250,2049950,2481910,2757490,1579800,1306630,1144810,1378900,2106470,1657410
P35080-2,C9J0J7;C9J712;C9JQ45;G5E9Q6;P35080-2;P35080,PROF2-2_HUMAN,PFN2,3,"Isoform of P35080, Isoform IIb of Profilin-2",,213496,,,,,288711,563641,306939,,,85150.5
P35221;P35221-2,A0A0A0MRI5;A0A0A0MTJ6;G3XAM7;P26232-2;P26232-3;P26232-4;P26232-5;P26232-6;P35221-2;P35221-3;P26232;P35221,CTNA1-2_HUMAN;CTNA1_HUMAN,CTNNA1,22,Catenin alpha-1,256298,226310,205779,,,,255892,157721,240638,,,
P35222,A0A2R8Y543;A0A2R8Y5A3;A0A2R8Y5C3;A0A2R8Y5Z1;A0A2R8Y6G0;A0A2R8Y750;A0A2R8Y804;A0A2R8YCH5;B4DGU4;P35222,CTNB1_HUMAN,CTNNB1,12,Catenin beta-1,306172,275507,243553,,,347417,254416,164744,410118,,,87965.3
P35232,C9JW96;C9JZ20;E7ESE2;E9PCW0;P35232-2;P35232,PHB_HUMAN,PHB,14,Prohibitin,1045100,1157580,1099410,821120,745962,409380,1036710,1079300,937404,691614,372041,669260
P35237,A0A024QZX5;A0A087X1N8;A0A2R8Y6A7;A0A2R8YD12;P35237,SPB6_HUMAN,SERPINB6,1,Serpin B6,,,,,,,,,,,,
P35241-4,A0A2R8Y4H6;A0A2R8Y5S7;P35241-2;P35241-4;P35241-5;P35241,RADI-4_HUMAN,RDX,4,"Isoform of P35241, Isoform 4 of Radixin",157346,,,,,,111210,,157262,,,
P35244,B5MC59;P35244,RFA3_HUMAN,RPA3,1,Replication protein A 14 kDa subunit,,,34425.6,,,,122810,118523,124815,,,
P35249,C9J8M3;C9JTT7;C9JXZ7;C9JZI1;P35249-2;P35249,RFC4_HUMAN,RFC4,5,Replication factor C subunit 4,,,,,,,,,,,,
P35250,A0A087WVY3;H7C5P4;P35250-2;P35250,RFC2_HUMAN,RFC2,4,Replication factor C subunit 2,,,,,,,108983,133837,94149.6,,,
P35268,K7ERI7;P35268,RL22_HUMAN,RPL22,5,60S ribosomal protein L22,15841100,18433300,17786600,16382100,14572100,9501780,18065800,21496800,13314300,17369400,15605900,18569300
P35269,M0QXD6;P35269,T2FA_HUMAN,GTF2F1,3,General transcription factor IIF subunit 1,177362,137098,174196,,,,,73275.7,,,,
P35527,K7EQQ3;P35527,K1C9_HUMAN,KRT9,35,"Keratin, type I cytoskeletal 9",79010800,69234700,59037900,81450800,178581000,144607000,43688500,80904500,67405600,177005000,167499000,156221000
P35555,E9PHW4;F6U495;P35555;P35556,FBN1_HUMAN,FBN1,4,Fibrillin-1,,,,,,,,,,,,
P35573,P35573-2;P35573-3;P35573,GDE_HUMAN,AGL,1,Glycogen debranching enzyme,,,,,,,,,,,,
P35579,P35579-2;P35579,MYH9_HUMAN,MYH9,67,Myosin-9,203063,157502,185095,,,,938554,963972,938612,2587680,1864880,2615310
P35580;P35580-2;P35580-3;P35580-4;P35580-5,M0QY43;P35580-2;P35580-3;P35580-4;P35580-5;P35749-2;P35749-3;P35749-4;Q7Z406-2;Q7Z406-4;Q7Z406-5;Q7Z406-6;P35580;P35749;Q7Z406,MYH10-2_HUMAN;MYH10-3_HUMAN;MYH10-4_HUMAN;MYH10-5_HUMAN;MYH10_HUMAN,MYH10,49,Myosin-10,132438,161721,135333,221733,,,751423,809628,613157,1965350,1266670,1714770
P35606;P35606-2,P35606-2;P35606,COPB2-2_HUMAN;COPB2_HUMAN,COPB2,13,Coatomer subunit beta',167829,181947,158685,97758,,,308030,335525,343539,275206,126738,252058
P35609;P35609-2,A0A494C060;F6THM6;P35609-2;P35609,ACTN2-2_HUMAN;ACTN2_HUMAN,ACTN2,8,Alpha-actinin-2,,,,,,,,,,,,
P35611;P35611-2;P35611-3;P35611-6,A0A0A0MSR2;D6RAH3;D6RF25;D6RJE2;E7ENY0;E7EV99;P35611-2;P35611-3;P35611-4;P35611-5;P35611-6;P35611,ADDA-2_HUMAN;ADDA-3_HUMAN;ADDA-6_HUMAN;ADDA_HUMAN,ADD1,8,Alpha-adducin,110867,,77053.8,,,,,101760,85795.4,,,
P35612;P35612-2;P35612-3;P35612-4;P35612-8;P35612-9,P35612-2;P35612-3;P35612-4;P35612-8;P35612-9;P35612,ADDB-2_HUMAN;ADDB-3_HUMAN;ADDB-4_HUMAN;ADDB-8_HUMAN;ADDB-9_HUMAN;ADDB_HUMAN,ADD2,5,Beta-adducin,,,,,,,,,,,,
P35613;P35613-2,A0A087WUV8;A0A087X2B5;I3L192;P35613-2;P35613-3;P35613-4;R4GMX5;R4GN83;P35613,BASI-2_HUMAN;BASI_HUMAN,BSG,8,Basigin,1804500,1847860,1681020,1321920,896487,1025850,1186940,987298,973361,243803,,388545
P35637;P35637-2,H3BPE7;P35637-2;P35637,FUS-2_HUMAN;FUS_HUMAN,FUS,7,RNA-binding protein FUS,1405050,1505800,1591740,,,,1751120,1745580,2009300,,,558245
P35658;P35658-2;P35658-3;P35658-4;P35658-5,A0A0A0MSW3;A0A494BZU9;A0A494C1F2;P35658-2;P35658-3;P35658-4;P35658-5;P35658,NU214-2_HUMAN;NU214-3_HUMAN;NU214-4_HUMAN;NU214-5_HUMAN;NU214_HUMAN,NUP214,7,Nuclear pore complex protein Nup214,108242,,106544,,,,,,,,,
P35659,A0A494C028;A0A494C198;B4DFG0;H0Y993;P35659-2;P35659,DEK_HUMAN,DEK,5,Protein DEK,,,,,,,209815,175269,138493,,,
P35749;P35749-2;P35749-3;P35749-4,P35749-2;P35749-3;P35749-4;P35749,MYH11-2_HUMAN;MYH11-3_HUMAN;MYH11-4_HUMAN;MYH11_HUMAN,MYH11,1,Myosin-11,,,,,,,,,,,,
P35754,P35754,GLRX1_HUMAN,GLRX,1,Glutaredoxin-1,,,,,,,,66086.9,,,,296345
P35813;P35813-3,P35813-3;P35813,PPM1A-3_HUMAN;PPM1A_HUMAN,PPM1A,1,Protein phosphatase 1A,,,,,,,,32253,68751.5,,,
P35908,P35908,K22E_HUMAN,KRT2,48,"Keratin, type II cytoskeletal 2 epidermal",45776600,33960600,45937400,49388800,59145500,45849900,27292000,26227000,26021700,46559700,63708200,85327400
P35998,P35998-2;P35998,PRS7_HUMAN,PSMC2,15,26S proteasome regulatory subunit 7,189240,257137,134411,,,,382542,436190,436142,,,170911
